Date,Open,High,Low,Close,Adj Close,Volume
2022-04-01,17436.900390625,17703.69921875,17422.69921875,17670.44921875,17670.44921875,291800
2022-04-04,17809.099609375,18114.650390625,17791.400390625,18053.400390625,18053.400390625,345500
2022-04-05,18080.599609375,18095.44921875,17921.55078125,17957.400390625,17957.400390625,283500
2022-04-06,17842.75,17901.0,17779.849609375,17807.650390625,17807.650390625,328800
2022-04-07,17723.30078125,17787.5,17623.69921875,17639.55078125,17639.55078125,308800
2022-04-08,17698.150390625,17842.75,17600.55078125,17784.349609375,17784.349609375,274400
2022-04-11,17740.900390625,17779.05078125,17650.94921875,17674.94921875,17674.94921875,251700
2022-04-12,17584.849609375,17595.30078125,17442.349609375,17530.30078125,17530.30078125,266000
2022-04-13,17599.900390625,17663.650390625,17457.400390625,17475.650390625,17475.650390625,245100
2022-04-18,17183.44921875,17237.75,17067.849609375,17173.650390625,17173.650390625,376100
2022-04-19,17258.94921875,17275.650390625,16824.69921875,16958.650390625,16958.650390625,401400
2022-04-20,17045.25,17186.900390625,16978.94921875,17136.55078125,17136.55078125,286100
2022-04-21,17234.599609375,17414.69921875,17215.5,17392.599609375,17392.599609375,285200
2022-04-22,17242.75,17315.30078125,17149.19921875,17171.94921875,17171.94921875,262700
2022-04-25,17009.05078125,17054.30078125,16888.69921875,16953.94921875,16953.94921875,275700
2022-04-26,17121.30078125,17223.849609375,17064.44921875,17200.80078125,17200.80078125,261100
2022-04-27,17073.349609375,17110.69921875,16958.44921875,17038.400390625,17038.400390625,265100
2022-04-28,17189.5,17322.5,17071.05078125,17245.05078125,17245.05078125,312900
2022-04-29,17329.25,17377.650390625,17053.25,17102.55078125,17102.55078125,336200
2022-05-02,16924.44921875,17092.25,16917.25,17069.099609375,17069.099609375,278200
2022-05-04,17096.599609375,17132.849609375,16623.94921875,16677.599609375,16677.599609375,310600
2022-05-05,16854.75,16945.69921875,16651.849609375,16682.650390625,16682.650390625,265800
2022-05-06,16415.55078125,16484.19921875,16340.900390625,16411.25,16411.25,300500
2022-05-09,16227.7001953125,16403.69921875,16142.099609375,16301.849609375,16301.849609375,288400
2022-05-10,16248.900390625,16404.55078125,16197.2998046875,16240.0498046875,16240.0498046875,283100
2022-05-11,16270.0498046875,16318.75,15992.599609375,16167.099609375,16167.099609375,284300
2022-05-12,16021.099609375,16041.9501953125,15735.75,15808.0,15808.0,314900
2022-05-13,15977.0,16083.599609375,15740.849609375,15782.150390625,15782.150390625,369100
2022-05-16,15845.099609375,15977.9501953125,15739.650390625,15842.2998046875,15842.2998046875,217600
2022-05-17,15912.599609375,16284.25,15900.7998046875,16259.2998046875,16259.2998046875,295700
2022-05-18,16318.150390625,16399.80078125,16211.2001953125,16240.2998046875,16240.2998046875,290400
2022-05-19,15917.400390625,15984.75,15775.2001953125,15809.400390625,15809.400390625,313900
2022-05-20,16043.7998046875,16283.0498046875,16003.849609375,16266.150390625,16266.150390625,252400
2022-05-23,16290.9501953125,16414.69921875,16185.75,16214.7001953125,16214.7001953125,293800
2022-05-24,16225.5498046875,16262.7998046875,16078.599609375,16125.150390625,16125.150390625,249800
2022-05-25,16196.349609375,16223.349609375,16006.9501953125,16025.7998046875,16025.7998046875,243300
2022-05-26,16105.0,16204.4501953125,15903.7001953125,16170.150390625,16170.150390625,314300
2022-05-27,16296.599609375,16370.599609375,16221.9501953125,16352.4501953125,16352.4501953125,274100
2022-05-30,16527.900390625,16695.5,16506.150390625,16661.400390625,16661.400390625,251400
2022-05-31,16578.44921875,16690.75,16521.900390625,16584.55078125,16584.55078125,651600
2022-06-01,16594.400390625,16649.19921875,16438.849609375,16522.75,16522.75,249600
2022-06-02,16481.650390625,16646.400390625,16443.05078125,16628.0,16628.0,236000
2022-06-03,16761.650390625,16793.849609375,16567.900390625,16584.30078125,16584.30078125,245500
2022-06-06,16530.69921875,16610.94921875,16444.55078125,16569.55078125,16569.55078125,233600
2022-06-07,16469.599609375,16487.25,16347.099609375,16416.349609375,16416.349609375,233800
2022-06-08,16474.94921875,16514.30078125,16293.349609375,16356.25,16356.25,243500
2022-06-09,16263.849609375,16492.80078125,16243.849609375,16478.099609375,16478.099609375,205000
2022-06-10,16283.9501953125,16324.7001953125,16172.599609375,16201.7998046875,16201.7998046875,189700
2022-06-13,15877.5498046875,15886.150390625,15684.0,15774.400390625,15774.400390625,225500
2022-06-14,15674.25,15858.0,15659.4501953125,15732.099609375,15732.099609375,225400
2022-06-15,15729.25,15783.650390625,15678.900390625,15692.150390625,15692.150390625,183000
2022-06-16,15832.25,15863.150390625,15335.099609375,15360.599609375,15360.599609375,264700
2022-06-17,15272.650390625,15400.400390625,15183.400390625,15293.5,15293.5,342600
2022-06-20,15334.5,15382.5,15191.099609375,15350.150390625,15350.150390625,260000
2022-06-21,15455.9501953125,15707.25,15419.849609375,15638.7998046875,15638.7998046875,262800
2022-06-22,15545.650390625,15565.400390625,15385.9501953125,15413.2998046875,15413.2998046875,220900
2022-06-23,15451.5498046875,15628.4501953125,15367.5,15556.650390625,15556.650390625,259200
2022-06-24,15657.400390625,15749.25,15619.4501953125,15699.25,15699.25,219600
2022-06-27,15926.2001953125,15927.4501953125,15815.5,15832.0498046875,15832.0498046875,210900
2022-06-28,15757.4501953125,15892.099609375,15710.150390625,15850.2001953125,15850.2001953125,251900
2022-06-29,15701.7001953125,15861.599609375,15687.7998046875,15799.099609375,15799.099609375,444900
2022-06-30,15774.5,15890.0,15728.849609375,15780.25,15780.25,306000
2022-07-01,15703.7001953125,15793.9501953125,15511.0498046875,15752.0498046875,15752.0498046875,364100
2022-07-04,15710.5,15852.349609375,15661.7998046875,15835.349609375,15835.349609375,304300
2022-07-05,15909.150390625,16025.75,15785.4501953125,15810.849609375,15810.849609375,254200
2022-07-06,15818.2001953125,16011.349609375,15800.900390625,15989.7998046875,15989.7998046875,288400
2022-07-07,16113.75,16150.5,16045.9501953125,16132.900390625,16132.900390625,264600
2022-07-08,16273.650390625,16275.5,16157.900390625,16220.599609375,16220.599609375,281100
2022-07-11,16136.150390625,16248.5498046875,16115.5,16216.0,16216.0,255900
2022-07-12,16126.2001953125,16158.75,16031.150390625,16058.2998046875,16058.2998046875,208600
2022-07-13,16128.2001953125,16140.0,15950.150390625,15966.650390625,15966.650390625,233300
2022-07-14,16018.849609375,16070.849609375,15858.2001953125,15938.650390625,15938.650390625,228600
2022-07-15,16010.7998046875,16066.9501953125,15927.2998046875,16049.2001953125,16049.2001953125,205800
2022-07-18,16151.400390625,16287.9501953125,16142.2001953125,16278.5,16278.5,227700
2022-07-19,16187.0498046875,16359.5,16187.0498046875,16340.5498046875,16340.5498046875,222600
2022-07-20,16562.80078125,16588.0,16490.94921875,16520.849609375,16520.849609375,284400
2022-07-21,16523.55078125,16626.94921875,16483.900390625,16605.25,16605.25,243600
2022-07-22,16661.25,16752.25,16610.900390625,16719.44921875,16719.44921875,190900
2022-07-25,16662.55078125,16706.05078125,16564.25,16631.0,16631.0,211400
2022-07-26,16632.900390625,16636.099609375,16463.30078125,16483.849609375,16483.849609375,208200
2022-07-27,16475.349609375,16653.44921875,16438.75,16641.80078125,16641.80078125,185200
2022-07-28,16774.849609375,16947.650390625,16746.25,16929.599609375,16929.599609375,376300
2022-07-29,17079.5,17172.80078125,17018.150390625,17158.25,17158.25,436100
2022-08-01,17243.19921875,17356.25,17154.80078125,17340.05078125,17340.05078125,381500
2022-08-02,17310.150390625,17390.150390625,17215.849609375,17345.44921875,17345.44921875,333600
2022-08-03,17349.25,17407.5,17225.849609375,17388.150390625,17388.150390625,285400
2022-08-04,17463.099609375,17490.69921875,17161.25,17382.0,17382.0,325000
2022-08-05,17423.650390625,17474.400390625,17348.75,17397.5,17397.5,355300
