"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"02-Aug-2022","EQ","48.95","52.00","48.60","49.15","50.20","50.40","50.84","76.65","40.40",16733540,"850,717,960.70",33382
"01-Aug-2022","EQ","47.95","49.40","47.50","47.70","49.00","49.15","48.55","76.65","40.40",3184117,"154,579,368.00",9075
"29-Jul-2022","EQ","48.20","48.70","47.50","48.00","47.60","47.70","47.94","76.65","40.40",2128517,"102,037,730.60",6266
"28-Jul-2022","EQ","48.20","48.70","47.65","48.05","48.00","48.00","48.13","76.65","40.40",2010471,"96,757,383.90",6978
"27-Jul-2022","EQ","46.50","48.50","46.30","46.45","47.85","48.05","47.68","76.65","40.40",2848851,"135,819,937.90",8250
"26-Jul-2022","EQ","48.25","48.40","46.20","48.25","46.50","46.45","46.88","76.65","40.40",2774840,"130,071,284.55",7861
"25-Jul-2022","EQ","49.05","49.05","48.05","49.05","48.05","48.25","48.35","76.65","40.40",1583087,"76,549,708.55",4612
"22-Jul-2022","EQ","49.25","49.90","48.70","49.15","48.80","49.05","49.18","76.65","40.40",2748317,"135,155,688.00",7732
"21-Jul-2022","EQ","47.95","49.65","47.60","48.00","49.00","49.15","48.83","76.65","40.40",4096964,"200,042,618.90",11562
"20-Jul-2022","EQ","48.00","48.30","47.55","47.40","47.85","48.00","47.89","76.65","40.40",2736221,"131,040,560.70",7818
"19-Jul-2022","EQ","46.90","47.55","46.70","46.90","47.35","47.40","47.19","76.65","40.40",2337191,"110,296,100.05",6441
"18-Jul-2022","EQ","46.00","47.30","45.80","45.60","46.90","46.90","46.75","76.65","40.40",3021071,"141,233,122.10",7624
"15-Jul-2022","EQ","46.00","46.00","45.10","45.75","45.55","45.60","45.43","77.20","40.40",790116,"35,897,923.00",3267
"14-Jul-2022","EQ","46.20","46.75","45.30","46.15","45.80","45.75","45.79","77.20","40.40",1208839,"55,349,990.90",5003
"13-Jul-2022","EQ","46.90","47.10","45.90","46.50","46.10","46.15","46.45","77.20","40.40",1980793,"92,003,945.10",6457
"12-Jul-2022","EQ","46.50","46.70","45.80","46.50","46.45","46.50","46.33","77.20","40.40",2124174,"98,406,684.45",5396
"11-Jul-2022","EQ","45.50","46.70","45.15","45.75","46.45","46.50","46.05","77.20","40.40",2423291,"111,598,436.75",8004
"08-Jul-2022","EQ","46.25","46.40","45.00","46.00","45.70","45.75","45.83","77.85","40.40",1557552,"71,382,688.90",5044
"07-Jul-2022","EQ","45.60","46.60","45.40","46.65","45.95","46.00","45.98","77.85","40.40",3191027,"146,710,270.60",8403
"06-Jul-2022","EQ","45.85","47.00","45.50","45.85","46.90","46.65","46.22","77.85","40.40",1725570,"79,764,452.65",5243
"05-Jul-2022","EQ","46.00","46.35","45.70","45.65","45.80","45.85","46.08","77.85","40.40",1429722,"65,877,630.75",4450
"04-Jul-2022","EQ","44.90","45.90","44.75","44.75","45.70","45.65","45.44","77.85","40.40",1497489,"68,040,433.95",5011
"01-Jul-2022","EQ","44.20","45.00","43.90","44.35","44.90","44.75","44.37","81.30","40.40",1053018,"46,721,625.20",4001
"30-Jun-2022","EQ","44.10","44.80","44.00","44.10","44.20","44.35","44.30","81.30","40.40",1149518,"50,920,642.15",4017
"29-Jun-2022","EQ","44.70","44.90","44.00","44.90","44.05","44.10","44.31","81.30","40.40",1358709,"60,207,925.50",11304
"28-Jun-2022","EQ","45.40","45.55","44.60","45.55","44.90","44.90","45.11","81.30","40.40",1271193,"57,339,220.85",4836
"27-Jun-2022","EQ","46.50","46.60","45.15","45.50","45.45","45.55","45.83","81.30","40.40",1299777,"59,564,449.55",4990
"24-Jun-2022","EQ","44.05","46.00","43.95","43.90","45.60","45.50","44.82","82.00","40.40",2295336,"102,887,800.55",7017
"23-Jun-2022","EQ","44.60","44.60","42.75","44.00","43.90","43.90","43.64","82.00","40.40",2306111,"100,644,337.80",6717
"22-Jun-2022","EQ","42.40","44.40","41.40","42.45","44.05","44.00","43.52","82.00","40.40",4711196,"205,014,709.25",12887
"21-Jun-2022","EQ","41.50","42.80","41.50","41.05","42.40","42.45","42.24","82.00","40.40",1798720,"75,969,610.80",6109
"20-Jun-2022","EQ","41.90","42.10","40.40","41.65","41.30","41.05","41.09","82.00","40.40",2040547,"83,841,450.90",6623
"17-Jun-2022","EQ","42.25","42.85","40.80","42.45","41.60","41.65","42.04","82.00","40.50",2110256,"88,707,604.70",8820
"16-Jun-2022","EQ","45.00","45.25","42.10","44.45","42.55","42.45","43.08","82.00","40.50",2138593,"92,132,189.95",9460
"15-Jun-2022","EQ","44.45","44.75","44.20","44.30","44.50","44.45","44.44","82.00","40.50",972030,"43,198,877.00",3027
"14-Jun-2022","EQ","44.00","45.15","44.00","44.85","44.40","44.30","44.46","82.00","40.50",1742941,"77,493,139.80",5757
"13-Jun-2022","EQ","45.10","45.25","44.50","46.15","44.85","44.85","44.94","82.00","40.50",1443357,"64,861,579.85",5407
"10-Jun-2022","EQ","46.15","46.40","45.90","46.50","46.35","46.15","46.14","87.00","40.50",1257265,"58,011,967.35",4608
"09-Jun-2022","EQ","46.65","47.00","46.05","46.80","46.55","46.50","46.56","87.00","40.50",1250659,"58,236,480.40",4704
"08-Jun-2022","EQ","47.20","47.60","46.55","46.95","46.70","46.80","46.98","87.00","40.50",1494680,"70,224,006.20",5091
"07-Jun-2022","EQ","46.40","47.25","46.15","46.75","47.00","46.95","46.71","87.00","40.50",1220243,"57,003,017.20",4458
"06-Jun-2022","EQ","47.55","47.65","46.35","47.40","46.80","46.75","46.75","87.00","40.50",1059376,"49,523,281.85",4655
"03-Jun-2022","EQ","48.70","48.90","47.15","48.30","47.50","47.40","47.80","87.00","40.50",2101572,"100,460,224.30",5733
"02-Jun-2022","EQ","47.90","48.75","47.60","47.95","48.30","48.30","48.29","87.00","40.50",2277858,"109,996,097.10",5706
"01-Jun-2022","EQ","47.90","48.30","47.35","47.95","48.00","47.95","47.93","87.00","40.50",1578253,"75,647,950.80",5687
