,datetime,stock_code,exchange_code,product_type,expiry_date,right,strike_price,open,high,low,close,volume,open_interest,count
0,2011-01-03 12:01:00,NIFTY,NSE,,,,,6177.45,6178.55,6147.2,6157.6,615343104,,0
1,2011-01-04 12:01:00,NIFTY,NSE,,,,,6172.75,6181.05,6124.4,6146.35,732465778,,1
2,2011-01-05 12:01:00,NIFTY,NSE,,,,,6141.35,6141.35,6062.35,6079.8,621724540,,2
3,2011-01-06 12:01:00,NIFTY,NSE,,,,,6107,6116.15,6022.3,6048.25,623468238,,3
4,2011-01-07 12:01:00,NIFTY,NSE,,,,,6030.9,6051.2,5883.6,5904.6,672038638,,4
5,2011-01-10 12:01:00,NIFTY,NSE,,,,,5901.3,5907.25,5740.95,5762.85,608232055,,5
6,2011-01-11 12:01:00,NIFTY,NSE,,,,,5767.95,5842.6,5698.2,5754.1,657866594,,6
7,2011-01-12 12:01:00,NIFTY,NSE,,,,,5800.05,5874.2,5711.3,5863.25,811267638,,7
8,2011-01-13 12:01:00,NIFTY,NSE,,,,,5850.75,5857.75,5736.7,5751.9,641426802,,8
9,2011-01-14 12:01:00,NIFTY,NSE,,,,,5752.1,5833.65,5639.65,5654.55,720600538,,9
10,2011-01-17 12:01:00,NIFTY,NSE,,,,,5648.8,5696.15,5624.15,5654.75,519157384,,10
11,2011-01-18 12:01:00,NIFTY,NSE,,,,,5682.55,5730.5,5671.25,5724.05,562399779,,11
12,2011-01-19 12:01:00,NIFTY,NSE,,,,,5737.35,5747.65,5662.55,5691.05,704761595,,12
13,2011-01-21 12:01:00,NIFTY,NSE,,,,,5692.05,5717.55,5674.5,5696.5,541223127,,13
14,2011-01-24 12:01:00,NIFTY,NSE,,,,,5717.1,5756,5697.75,5743.25,547305274,,14
15,2011-01-25 12:01:00,NIFTY,NSE,,,,,5763.3,5801.55,5680.65,5687.4,548817301,,15
16,2011-01-27 12:01:00,NIFTY,NSE,,,,,5725.3,5726.1,5594.95,5604.3,797532322,,16
17,2011-01-28 12:01:00,NIFTY,NSE,,,,,5614,5614.4,5459.55,5512.15,753861407,,17
18,2011-01-31 12:01:00,NIFTY,NSE,,,,,5452.55,5526.85,5416.65,5505.9,707357938,,18
19,2011-02-01 12:02:00,NIFTY,NSE,,,,,5537.3,5539.15,5402,5417.2,695528809,,19
20,2011-02-03 12:02:00,NIFTY,NSE,,,,,5430.45,5532.65,5418,5526.75,651750428,,20
21,2011-02-04 12:02:00,NIFTY,NSE,,,,,5519.9,5556.3,5369.05,5395.75,714189634,,21
22,2011-02-07 12:02:00,NIFTY,NSE,,,,,5430.15,5440.35,5376.95,5396,561442014,,22
23,2011-02-08 12:02:00,NIFTY,NSE,,,,,5432.35,5432.35,5303.4,5312.55,632406880,,23
24,2011-02-09 12:02:00,NIFTY,NSE,,,,,5293.05,5339.45,5225.65,5253.55,883620031,,24
25,2011-02-10 12:02:00,NIFTY,NSE,,,,,5246.05,5272.6,5196.8,5225.8,914591503,,25
26,2011-02-11 12:02:00,NIFTY,NSE,,,,,5219.65,5319.45,5177.7,5310,837983354,,26
27,2011-02-14 12:02:00,NIFTY,NSE,,,,,5340.25,5463.8,5340.25,5456,697014833,,27
28,2011-02-15 12:02:00,NIFTY,NSE,,,,,5467.75,5506.5,5408.35,5481,748512395,,28
29,2011-02-16 12:02:00,NIFTY,NSE,,,,,5467.6,5504.8,5460.35,5481.7,647386720,,29
30,2011-02-17 12:02:00,NIFTY,NSE,,,,,5501.7,5553,5463.4,5546.45,673971699,,30
31,2011-02-18 12:02:00,NIFTY,NSE,,,,,5557.55,5599.25,5441.95,5458.95,740737107,,31
32,2011-02-21 12:02:00,NIFTY,NSE,,,,,5456.6,5526.25,5413.1,5518.6,515405507,,32
33,2011-02-22 12:02:00,NIFTY,NSE,,,,,5504.4,5519.45,5437.3,5469.2,590795412,,33
34,2011-02-23 12:02:00,NIFTY,NSE,,,,,5452.45,5495.2,5427.55,5437.35,544341703,,34
35,2011-02-24 12:02:00,NIFTY,NSE,,,,,5408.75,5423.4,5242.5,5262.7,870680226,,35
36,2011-02-25 12:02:00,NIFTY,NSE,,,,,5321.05,5338.2,5232.75,5303.55,660691557,,36
37,2011-02-28 12:02:00,NIFTY,NSE,,,,,5330.15,5477,5308.6,5333.25,856238090,,37
38,2011-03-01 12:03:00,NIFTY,NSE,,,,,5382,5533.05,5373.55,5522.3,693162925,,38
39,2011-03-03 12:03:00,NIFTY,NSE,,,,,5478.45,5570.75,5468.25,5536.2,730107423,,39
40,2011-03-04 12:03:00,NIFTY,NSE,,,,,5586.2,5608.2,5524.1,5538.75,578961830,,40
41,2011-03-07 12:03:00,NIFTY,NSE,,,,,5490.05,5491.25,5408.45,5463.15,480985401,,41
42,2011-03-08 12:03:00,NIFTY,NSE,,,,,5466.1,5530.55,5464.75,5520.8,486778232,,42
43,2011-03-09 12:03:00,NIFTY,NSE,,,,,5542.4,5563.3,5477.45,5531,608224572,,43
44,2011-03-10 12:03:00,NIFTY,NSE,,,,,5516.1,5516.3,5468.45,5494.4,0,,44
45,2011-03-11 12:03:00,NIFTY,NSE,,,,,5456.15,5502.7,5411.55,5445.45,579768656,,45
46,2011-03-14 12:03:00,NIFTY,NSE,,,,,5436.5,5537.3,5434.25,5531.5,501153980,,46
47,2011-03-15 12:03:00,NIFTY,NSE,,,,,5420,5497.85,5373.65,5449.65,582886019,,47
48,2011-03-16 12:03:00,NIFTY,NSE,,,,,5475.95,5535.1,5475.95,5511.15,534876255,,48
49,2011-03-17 12:03:00,NIFTY,NSE,,,,,5455.4,5510.05,5435.3,5446.65,482534636,,49
50,2011-03-18 12:03:00,NIFTY,NSE,,,,,5475.35,5483.05,5366.4,5373.7,475375998,,50
51,2011-03-21 12:03:00,NIFTY,NSE,,,,,5408.75,5413.3,5348.2,5364.75,437857150,,51
52,2011-03-22 12:03:00,NIFTY,NSE,,,,,5390.85,5428.15,5376.15,5413.85,456331365,,52
53,2011-03-23 12:03:00,NIFTY,NSE,,,,,5411.4,5484.95,5401.95,5480.25,508385589,,53
54,2011-03-24 12:03:00,NIFTY,NSE,,,,,5501.8,5529,5496.1,5522.4,587784627,,54
55,2011-03-25 12:03:00,NIFTY,NSE,,,,,5588.65,5667.1,5560.95,5654.25,613619013,,55
56,2011-03-28 12:03:00,NIFTY,NSE,,,,,5645.25,5709.1,5643.2,5687.25,650097224,,56
57,2011-03-29 12:03:00,NIFTY,NSE,,,,,5686.5,5770.35,5680.7,5736.35,696620704,,57
58,2011-03-30 12:03:00,NIFTY,NSE,,,,,5755.8,5803.15,5753.9,5787.65,733126971,,58
59,2011-03-31 12:03:00,NIFTY,NSE,,,,,5803.05,5872,5778.65,5833.75,859353167,,59
60,2011-04-01 12:04:00,NIFTY,NSE,,,,,5835,5860.2,5810.4,5826.05,666450313,,60
61,2011-04-04 12:04:00,NIFTY,NSE,,,,,5842,5918.7,5833.2,5908.45,679126084,,61
62,2011-04-05 12:04:00,NIFTY,NSE,,,,,5923.85,5928.65,5855.85,5910.05,813699489,,62
63,2011-04-06 12:04:00,NIFTY,NSE,,,,,5908,5944.45,5868.8,5891.75,929961973,,63
64,2011-04-07 12:04:00,NIFTY,NSE,,,,,5888.55,5906.1,5866.25,5885.7,868221585,,64
65,2011-04-08 12:04:00,NIFTY,NSE,,,,,5886.75,5926.95,5822,5842,1002834954,,65
66,2011-04-11 12:04:00,NIFTY,NSE,,,,,5805.35,5830.3,5777.9,5785.7,626279276,,66
67,2011-04-13 12:04:00,NIFTY,NSE,,,,,5747.95,5923.6,5735.55,5911.5,713277401,,67
68,2011-04-15 12:04:00,NIFTY,NSE,,,,,5898.75,5907.35,5806.45,5824.55,675557515,,68
69,2011-04-18 12:04:00,NIFTY,NSE,,,,,5824.35,5897.9,5722.25,5729.1,638772364,,69
70,2011-04-19 12:04:00,NIFTY,NSE,,,,,5716,5762.95,5693.25,5740.75,605905861,,70
71,2011-04-20 12:04:00,NIFTY,NSE,,,,,5786.05,5857.35,5759.65,5851.65,745307169,,71
72,2011-04-21 12:04:00,NIFTY,NSE,,,,,5882.85,5912.9,5864.35,5884.7,653296230,,72
73,2011-04-25 12:04:00,NIFTY,NSE,,,,,5859.6,5906.6,5857,5874.5,493973471,,73
74,2011-04-26 12:04:00,NIFTY,NSE,,,,,5876.85,5893.2,5791.55,5868.4,658918900,,74
75,2011-04-27 12:04:00,NIFTY,NSE,,,,,5884.2,5892.35,5819.95,5833.9,621486765,,75
76,2011-04-28 12:04:00,NIFTY,NSE,,,,,5851.35,5856.4,5776.95,5785.45,834432344,,76
77,2011-04-29 12:04:00,NIFTY,NSE,,,,,5782.5,5804.3,5706.05,5749.5,715406403,,77
78,2011-05-02 12:05:00,NIFTY,NSE,,,,,5766.9,5775.25,5687.7,5701.3,487981787,,78
79,2011-05-03 12:05:00,NIFTY,NSE,,,,,5689.7,5710.8,5554.85,5565.25,620173855,,79
80,2011-05-04 12:05:00,NIFTY,NSE,,,,,5567.7,5578.8,5503,5537.15,574200175,,80
81,2011-05-05 12:05:00,NIFTY,NSE,,,,,5531.6,5560.3,5443.65,5459.85,519861086,,81
